course_unit_code,course_degree_code,course_unit_name,course_unit_academic_year,degree_course,degree_course_track,number_of_ects_credits_allocated,type_of_assessment,course_unit_english_denomination,department_of_reference,mandatory_attendance,language_of_instruction,branch,single_course_unit,optional_course_unit,course_unit_for_erasmus_students,course_unit_lecturer,course_unit_organization_period,course_unit_organization_year,course_unit_organization_teaching_method,course_unit_organization_type_of_hours,course_unit_organization_credits,course_unit_organization_teachinghours,course_unit_organization_hours_ofindividual_study,course_unit_organization_shifts,start_of_activities,end_of_activities,course_unit_url,prerequisites,target_skills_and_knowledge,examination_methods,assessment_criteria,course_unit_contents,planned_learning_activities_and_teaching_methods,additional_notes_about_suggested_reading,textbooks_(and_optional_supplementary_readings),notes
SCP9086382,SC2490,ADVANCED ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",THEORY AND MODELLING [001PD],6.0,Mark,ADVANCED ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,MICHELE TRABUCCHI,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/001PD/SCP9086382/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCQ0093339,SC2490,ASTROPHYSICS LABORATORY 1: HIGH ENERGY INSTRUMENTATION,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,ASTROPHYSICS LABORATORY 1: HIGH ENERGY INSTRUMENTATION,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,STEFANO CIROI,First semester,1st Year,face to face teaching,Practice,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCQ0093339/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCQ0093338,SC2490,ASTROPHYSICS LABORATORY 1: INFRARED AND OPTICAL INSTRUMENTATION,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,ASTROPHYSICS LABORATORY 1: INFRARED AND OPTICAL INSTRUMENTATION,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,ROBERTO RAGAZZONI,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCQ0093338/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086381,SC2490,FUNDAMENTALS OF ASTROPHYSICS AND COSMOLOGY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,FUNDAMENTALS OF ASTROPHYSICS AND COSMOLOGY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,SABINO MATARRESE,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP9086381/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086380,SC2490,FUNDAMENTALS OF MODERN PHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,FUNDAMENTALS OF MODERN PHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,CHIARA MAURIZIO,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP9086380/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCQ0093378,SC2490,GENERAL RELATIVITY FOR ASTROPHYSICS AND COSMOLOGY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,GENERAL RELATIVITY FOR ASTROPHYSICS AND COSMOLOGY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,FRANCESCO D'ERAMO,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCQ0093378/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086342,SC2490,MATHEMATICAL AND NUMERICAL METHODS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,MATHEMATICAL AND NUMERICAL METHODS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,MICHELE LIGUORI,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP9086342/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086344,SC2490,OBSERVATIONAL ASTROPHYSICS,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25","OBSERVATIONS, EXPERIMENTS AND INTERPRETATION [002PD]",6.0,Mark,OBSERVATIONAL ASTROPHYSICS,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,SERGIO ORTOLANI,First semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,30/09/2024,18/01/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/002PD/SCP9086344/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCP9086348,SC2490,ASTRONOMICAL INTERFEROMETRY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,ASTRONOMICAL INTERFEROMETRY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,MAURO D'ONOFRIO,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCP9086348/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
SCN1035986,SC2490,ASTRONOMICAL SPECTROSCOPY,2024/25,"Second cycle degree in ASTROPHYSICS AND COSMOLOGY SC2490, Degree course structure A.Y. 2019/20, A.Y. 2024/25",Common track,6.0,Mark,ASTRONOMICAL SPECTROSCOPY,Department of Physics and Astronomy,Yes,English,PADOVA,The Course unit can be attended under the option Single Course unit attendance,The Course unit can be chosen as Optional Course unit,The course unit can be attended by Erasmus+ and other exchange students,Not mentioned.,Second semester,1st Year,face to face teaching,Lecture,6.0,48,102.0,No turn,24/02/2025,14/06/2025,https://en.didattica.unipd.it/off/2024/LM/SC/SC2490/000ZZ/SCN1035986/N0,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.
